                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.47265,                0.78825,                 0.2565,                0.87829,                0.72251,                0.66779,                0.70843,                0.40223,                0.73512,                0.67149,                0.71876,                 0.4016,                 1.9007,                 3.1799,                  1.406,                 1.7881,               0.001288,               0.001288,               0.001288
                     90,                0.46636,                0.78659,                0.25465,                0.87627,                0.72465,                0.66349,                0.70794,                0.40215,                0.73587,                0.66844,                0.71848,                0.40144,                 1.9012,                 3.1818,                 1.4095,                 1.7892,               0.001189,               0.001189,               0.001189
                     91,                0.36288,                0.63953,                0.18204,                0.81246,                0.72408,                 0.6611,                 0.7081,                0.40187,                0.73631,                0.66749,                0.71765,                0.40117,                 1.9037,                 3.1905,                 1.4104,                  1.793,                0.00109,                0.00109,                0.00109
                     92,                0.34075,                0.60653,                0.17541,                0.80565,                0.72143,                0.66278,                0.70777,                 0.4008,                0.73608,                0.66779,                0.71754,                0.40056,                 1.9063,                 3.1999,                 1.4132,                 1.7966,               0.000991,               0.000991,               0.000991
                     93,                0.33408,                0.59821,                 0.1719,                0.80079,                0.72505,                0.65857,                0.70712,                0.40031,                0.73499,                0.66712,                0.71655,                0.39974,                 1.9079,                 3.2082,                 1.4169,                 1.7995,               0.000892,               0.000892,               0.000892
                     94,                0.32588,                0.59092,                 0.1683,                0.79896,                0.73213,                0.65149,                 0.7062,                0.39933,                0.74091,                0.66041,                0.71616,                0.39947,                 1.9097,                 3.2191,                 1.4197,                 1.8026,               0.000793,               0.000793,               0.000793
                     95,                0.31916,                0.57967,                0.16553,                 0.8014,                0.73453,                0.64934,                0.70687,                 0.3994,                0.73269,                0.66595,                 0.7163,                0.39956,                 1.9116,                 3.2274,                 1.4222,                 1.8059,               0.000694,               0.000694,               0.000694
                     96,                0.31201,                0.57326,                0.16219,                0.79757,                0.72539,                0.65327,                0.70653,                 0.3994,                0.73392,                0.66432,                 0.7168,                0.39962,                 1.9127,                  3.237,                 1.4241,                  1.808,               0.000595,               0.000595,               0.000595
                     97,                0.30891,                0.57007,                0.15922,                0.79551,                0.73209,                0.64842,                0.70576,                0.39894,                0.73445,                0.66186,                0.71625,                0.39958,                  1.913,                 3.2466,                 1.4253,                 1.8096,               0.000496,               0.000496,               0.000496
                     98,                 0.3024,                0.56355,                0.15665,                0.79507,                0.72955,                0.64842,                0.70543,                 0.3991,                0.73526,                0.66103,                0.71639,                0.39963,                 1.9136,                  3.254,                 1.4272,                 1.8117,               0.000397,               0.000397,               0.000397
                     99,                0.29918,                 0.5616,                0.15419,                0.79403,                 0.7244,                0.65086,                0.70486,                0.39906,                 0.7357,                0.66101,                0.71616,                0.39965,                 1.9139,                 3.2607,                 1.4273,                 1.8141,               0.000298,               0.000298,               0.000298
                    100,                0.29313,                0.55381,                0.15219,                0.79051,                0.72224,                0.65088,                0.70403,                  0.399,                0.73482,                0.66133,                0.71661,                 0.3994,                 1.9141,                 3.2667,                 1.4279,                 1.8158,               0.000199,               0.000199,               0.000199
